"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACACB",530.563480364096,0.355253802691379,0.543225544865662,0.653971091840374,0.513130430227585,NA
"ACAD10",269.287481329998,0.498120834134292,0.317319709778971,1.56977590355562,0.116467255378902,NA
"ACAD11",44.4418793982386,0.309433637964446,0.46161705742589,0.670325398480589,0.502650379643479,NA
"ACAD8",114.394737664261,0.541544720264341,0.233611262928153,2.31814473958344,0.0204414561171913,NA
"ACAD9",206.590391037204,0.541073165932679,0.283533129993342,1.90832431450033,0.0563493122900511,NA
"ACADL",4.40791699032593,3.25475435978848,2.60863910624587,1.24768288261708,0.212147212311634,NA
"ACADM",346.196513155059,-0.271793154830369,0.250934307328275,-1.08312473381651,0.278753061862005,NA
"ACADS",48.4783143464312,0.340895015445645,0.571651796310172,0.596333323267787,0.550952573810403,NA
"ACADSB",458.291316364691,0.238408714248322,0.323541484612681,0.736872165044699,0.461200092580132,NA
"ACADVL",685.50293156171,0.0403606376582619,0.519506643156064,0.0776903205954524,0.93807439388,NA
"ACAN",6.36372229581557,-1.47286363439061,1.80886257465521,-0.81424849793874,0.415502607336671,NA
"ACAP1",405.802601665943,0.992884934494105,0.734956804545617,1.35094325047844,0.176713612177646,NA
"ACAP2",2442.93997791372,-0.327151749904597,0.235941314496865,-1.38658102588872,0.165569557373896,0.552091830018781
"ACAP3",197.347096023175,0.177751031814846,0.441779510322907,0.402352367326686,0.687424719978245,NA
"ACAT1",119.183563654564,-0.0581618281999298,0.366456067142464,-0.158714327350238,0.87389394967279,NA
"ACAT2",83.8123008302574,0.0936781898065199,0.425720203097128,0.22004638052178,0.825835033388834,NA
"ACBD3",728.10172377197,-0.637274678932991,0.3420077003282,-1.8633343001384,0.0624152472211274,NA
"ACBD4",119.671841204362,0.217535995452129,0.482380672848329,0.450963331859125,0.652015977000862,NA
"ACBD5",412.520075423488,-0.333625402246456,0.248063295213397,-1.34492046459132,0.178650920719005,NA
"ACBD6",91.6636276647232,1.07060392307757,0.427353822712237,2.50519327587358,0.0122384496143597,NA
"ACBD7",7.86372469109433,0.114241977326278,1.17730202050017,0.0970371029158205,0.922696929603983,NA
"ACCS",203.622360368544,1.02808026718841,0.584971288609936,1.75748842243426,0.0788345935256624,NA
"ACD",56.4392627480059,0.379170704358125,0.423971232261449,0.894331208123817,0.371144707017219,NA
"ACE",324.791583244236,-0.959057906655381,1.01804103891801,-0.94206212715617,0.346160833095519,NA
"ACE2",2.19990307452165,-0.335454679095846,1.77219644842844,-0.189287524751176,0.849867472387389,NA
"ACER1",9.59103267836602,0.907527897049473,0.863769989535071,1.05065921257343,0.293415135247201,NA
"ACER2",80.0206062843356,-0.526500038601112,0.417094054221113,-1.26230530805409,0.206838947419952,NA
"ACER3",1024.23979087307,-1.1373395994743,0.494348898592197,-2.30068197322419,0.021409613769452,0.330029309436461
"ACHE",83.8196358025029,-0.115520971506075,0.751784601932075,-0.153662327226692,0.877875990434195,NA
"ACIN1",1262.38882801117,0.789375653303094,0.367924038937678,2.14548539851403,0.0319140576368233,0.352135873134444
"ACKR1",200.208326754132,-0.677194920862129,0.559479745771339,-1.21040113780795,0.226125005517991,NA
